id_danio,fecha,estado,pais,afectados,fallecidos,desaparecidos,heridos,viv_destr,viv_afect,id_sismo
1,2003-08-08,Apurímac,Perú,295,0,0.0,0,11,268,10458
2,2003-08-08,Cusco,Perú,4498,0,0.0,0,239,905,10458
3,2003-08-24,Ica,Perú,7,2,0.0,0,2,0,10472
4,2003-08-26,Arequipa,Perú,0,0,0.0,7,0,0,10476
5,2003-08-26,Moquegua,Perú,104,0,0.0,4,22,2,10476
6,2003-08-26,Tacna,Perú,62,0,0.0,0,0,0,10476
7,2003-10-06,Apurímac,Perú,0,0,0.0,0,0,72,10541
8,2003-11-06,Apurímac,Perú,28,0,0.0,0,4,0,10578
9,2004-03-26,Apurímac,Perú,50,0,0.0,0,10,40,10723
10,2004-03-26,Arequipa,Perú,76,0,0.0,0,18,0,10723
11,2004-03-26,Cusco,Perú,31,0,0.0,0,5,0,10723
12,2004-07-21,Moquegua,Perú,7,0,0.0,0,1,0,10832
13,2004-08-11,Tacna,Perú,10,0,0.0,0,2,0,10860
14,2004-10-20,Arequipa,Perú,6,0,0.0,0,1,0,10916
15,2004-10-28,Lambayeque,Perú,0,0,0.0,0,0,0,10925
16,2005-01-10,Moquegua,Perú,2912,0,0.0,0,101,1876,10990
17,2005-01-15,Piura,Perú,0,0,0.0,0,0,0,10994
18,2005-01-15,Tumbes,Perú,0,0,0.0,0,0,0,10994
19,2005-01-17,Lima,Perú,0,0,0.0,0,0,0,10999
20,2005-01-23,Arequipa,Perú,0,0,0.0,0,0,0,11001
21,2005-01-26,Arequipa,Perú,0,0,0.0,0,0,0,11012
22,2005-02-03,Lima,Perú,0,0,0.0,0,0,0,11021
23,2005-02-17,Lima,Perú,0,0,0.0,0,0,0,11036
24,2005-02-19,Ayacucho,Perú,9,0,0.0,0,3,0,11041
25,2005-03-06,Arequipa,Perú,0,0,0.0,0,0,0,11055
26,2005-03-21,Ica,Perú,0,0,0.0,0,0,0,11072
27,2005-03-22,Ica,Perú,0,0,0.0,0,0,0,11076
28,2005-03-25,Ica,Perú,0,0,0.0,0,0,0,11086
29,2005-03-28,Lima,Perú,0,0,0.0,0,0,0,11090
30,2005-04-11,Huancavelica,Perú,0,0,0.0,0,0,0,11109
31,2005-04-13,La Libertad,Perú,0,0,0.0,0,0,0,11113
32,2005-04-16,Lima,Perú,0,0,0.0,0,0,0,11116
33,2005-04-16,Tacna,Perú,0,0,0.0,0,0,0,11116
34,2005-04-18,Lima,Perú,0,0,0.0,0,0,0,11118
35,2005-04-20,Moquegua,Perú,4,0,0.0,0,2,0,11123
36,2005-04-22,La Libertad,Perú,0,0,0.0,0,0,0,11127
37,2005-04-29,Amazonas,Perú,0,0,0.0,0,0,0,11134
38,2005-04-30,Arequipa,Perú,0,0,0.0,0,0,0,11136
39,2005-04-30,Ayacucho,Perú,1486,0,0.0,0,236,334,11136
40,2005-05-05,Huancavelica,Perú,0,0,0.0,0,0,0,11144
41,2005-05-05,Ica,Perú,0,0,0.0,0,0,0,11144
42,2005-05-09,Apurímac,Perú,0,0,0.0,0,0,0,11148
43,2005-05-09,Huancavelica,Perú,0,0,0.0,0,0,0,11148
44,2005-05-13,Tumbes,Perú,0,0,0.0,0,0,0,11151
45,2005-05-21,Tumbes,Perú,0,0,0.0,0,0,0,11155
46,2005-05-22,Piura,Perú,0,0,0.0,0,0,0,11164
47,2005-05-28,Arequipa,Perú,0,0,0.0,0,0,0,11169
48,2005-05-29,Tumbes,Perú,0,0,0.0,0,0,0,11171
49,2005-06-04,Cusco,Perú,0,0,0.0,0,0,0,11180
50,2005-06-04,Huancavelica,Perú,0,0,0.0,0,0,0,11180
51,2005-06-04,Ica,Perú,0,0,0.0,0,0,0,11180
52,2005-06-06,Arequipa,Perú,0,0,0.0,0,0,0,11183
53,2005-06-12,Ancash,Perú,0,0,0.0,0,0,0,11189
54,2005-06-12,Huancavelica,Perú,0,0,0.0,0,0,0,11189
